molecule_id,smiles,gap
0,CC(=O)OC(CC(=O)[O-])C[N+](C)(C)C,
1,CC(=O)OC(CC(=O)O)C[N+](C)(C)C,
2,O=C(O)C1=CC=CC(O)C1O,
3,CC(O)CN,
4,NCC(=O)COP(=O)(O)O,
5,O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,
6,CCn1cnc2c(N)ncnc21,
7,CCC(C)(O)C(O)C(=O)O,
8,O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O,
9,ClCCCl,
10,Oc1cc(O)c(O)c(O)c1,
11,Clc1ccc(Cl)c(Cl)c1,
12,CCCCCC(=O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,
13,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,
14,O=C1CCCCCNC(=O)CCCCCN1,
15,O=C(O)C1=NC(C(=O)O)CC=C1,
16,O=C(O)C(=O)C(=O)C(O)C(O)CO,
17,O=C(O)c1cccc(O)c1O,
18,O=C(O)CCc1cccc(O)c1O,
19,CCC(O)(C(C)=O)C(=O)O,
20,CC(=O)C(C)(O)C(=O)O,
21,NC(C(=O)O)=C(C=CC=O)C(=O)O,
22,NC1=NC2C(C(=O)N1)N(O)C(O)(C(O)C(O)CO)C(O)N2O,
23,CC(=O)C(=O)C1=NC2C(=O)NC(N)=NC2N(O)C1O,
24,NC(=CC=CC(=O)O)C(=O)O,
25,NC(C=O)C(=O)O,
26,NC(=CC=CC=O)C(=O)O,
27,CC(O)(CO)C(O)COP(=O)(O)O,
28,O=C(O)C=CC=C(C(=O)O)C(=O)O,
29,O=CCCl,
30,OCCCl,
31,O=C(O)CC1(Cl)C=CC(=O)O1,
32,CC(C)C(C(=O)O)C(O)C(=O)O,
33,O=C(O)C(=O)CC(O)C(O)CO,
34,CC(C)(CO)C(=O)C(=O)O,
35,CC1(C)COC(=O)C1=O,
36,OCC1OC(O)CC(O)C1O,
37,CSCCC(=O)C(O)=COP(=O)(O)O,
38,O=C(O)CCC(=O)C=CC=C(O)C(=O)O,
39,O=C(O)CCC(O)C(=O)O,
40,O=C([O-])C(O)C(=O)[O-],
41,O=C(O)C(O)C(=O)O,
42,O=C(O)C(=O)CC(O)C(O)COP(=O)(O)O,
43,CCC(C)C(=O)C(=O)O,
44,NC(=O)CCC(=O)C(=O)O,
45,CC(C)C(=O)C(=O)O,
46,O=C(O)C(=O)C(O)C(O)C(O)CO,
47,O=C(O)CCC(=O)C(=O)O,
48,CC(O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,
49,CC(=O)C(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,
50,CCC(C)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,
51,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(O)c1O,
52,CC=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1cccc(OC)c1O,
53,CC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCCC(C)=CCc1ccccc1O,
54,CCC(=O)C(=O)O,
55,O=C(O)C(CO)OP(=O)(O)O,
56,CC(CO)(OP(=O)(O)O)C(O)COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O,
57,O=C(O)C(COP(=O)(O)O)OP(=O)(O)O,
58,OC1C=C(Cl)C(Cl)C=C1Cl,
59,CC(N)CC(N)C(=O)O,
60,OC1C=C(Cl)C(O)C=C1Cl,
61,Oc1cc(Cl)c(O)cc1Cl,
62,Oc1cc(Cl)ccc1Cl,
63,O=C(O)C(=O)C(O)C(O)C(=O)CO,
64,CC1(CO)OP(=O)(O)OP(=O)(O)OCC1O,
65,CC(=O)C=CC=C(O)C(=O)O,
66,CC(C)CC(=O)C(=O)O,
67,O=C(O)CCCC(=O)C(=O)O,
68,O=C(O)c1ccc(O)c(O)c1,
69,Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(OP(=O)(O)O)C1O,
70,CC(=O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,
71,NCCC=O,
72,CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O,
73,CC(C)C(O)(CC(=O)O)C(=O)O,
74,NC(CCl)C(=O)O,
75,N#Cc1cccnc1,
76,O=C(O)C1=CC(=O)C(O)C(O)C1,
77,O=C(O)C(=O)CC(O)C(O)C(O)COP(=O)(O)O,
78,C=C(OC1CC(C(=O)O)=CC(OP(=O)(O)O)C1O)C(=O)O,
79,CC(O)(CC(=O)O)CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O,
